0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
4.000000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+01
6.500000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+00,1.300000000000000000e+01
6.700000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+01
8.100000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01
8.400000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+01
8.500000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01
1.050000000000000000e+02,6.000000000000000000e+00,3.000000000000000000e+00,1.400000000000000000e+01
1.110000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01
1.170000000000000000e+02,2.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+00,6.000000000000000000e+00,1.300000000000000000e+01
1.420000000000000000e+02,7.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01
1.640000000000000000e+02,7.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01
1.930000000000000000e+02,7.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01
1.990000000000000000e+02,6.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01
2.110000000000000000e+02,7.000000000000000000e+00,3.000000000000000000e+00,1.400000000000000000e+01
2.170000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01
2.220000000000000000e+02,2.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+01
2.710000000000000000e+02,2.000000000000000000e+00,4.000000000000000000e+00,1.400000000000000000e+01
